edge_id,edge_type,from_node,to_node,from_type,to_type,properties
CUS_REL_0031,IS_CUSTOMER,CUS_028,CUS_004,Company,Company,客户关系-苏宁环球股份有限公司是中国交通建设股份有限公司的客户
CUS_REL_0032,IS_CUSTOMER,CUS_004,CUS_028,Company,Company,客户关系-中国交通建设股份有限公司是苏宁环球股份有限公司的客户
CUS_REL_0033,IS_CUSTOMER,CUS_006,SUP_027,Company,Company,客户关系-中国电力建设股份有限公司是福建三钢闽光股份有限公司的客户
CUS_REL_0034,IS_CUSTOMER,CUS_019,ORG_017,Company,Company,客户关系-衢州信安发展股份有限公司是国家能源投资集团有限责任公司的客户
CUS_REL_0035,IS_CUSTOMER,CUS_029,CUS_010,Company,Company,客户关系-北京万通新发展集团股份有限公司是中国中车股份有限公司的客户
CUS_REL_0036,IS_CUSTOMER,CUS_010,CUS_029,Company,Company,客户关系-中国中车股份有限公司是北京万通新发展集团股份有限公司的客户
CUS_REL_0037,IS_CUSTOMER,CUS_030,ORG_013,Company,Company,客户关系-恒大地产集团有限公司是中国中车集团有限公司的客户
CUS_REL_0038,IS_CUSTOMER,CUS_003,SUP_001,Company,Company,客户关系-中国中铁股份有限公司是宝山钢铁股份有限公司的客户
CUS_REL_0039,IS_CUSTOMER,CUS_023,CUS_028,Company,Company,客户关系-金科地产集团股份有限公司是苏宁环球股份有限公司的客户
CUS_REL_0040,IS_CUSTOMER,CUS_028,CUS_023,Company,Company,客户关系-苏宁环球股份有限公司是金科地产集团股份有限公司的客户
CUS_REL_0041,IS_CUSTOMER,CUS_024,SUP_005,Company,Company,客户关系-金融街控股股份有限公司是中国北方稀土(集团)高科技股份有限公司的客户
CUS_REL_0042,IS_CUSTOMER,CUS_011,ORG_019,Company,Company,客户关系-万科企业股份有限公司是国电电力发展股份有限公司的客户
CUS_REL_0043,IS_CUSTOMER,CUS_003,SUP_024,Company,Company,客户关系-中国中铁股份有限公司是浙江久立特材科技股份有限公司的客户
CUS_REL_0044,IS_CUSTOMER,CUS_011,SUP_029,Company,Company,客户关系-万科企业股份有限公司是中国振华(集团)科技股份有限公司的客户
CUS_REL_0045,IS_CUSTOMER,CUS_020,CUS_006,Company,Company,客户关系-珠海珠免集团股份有限公司是中国电力建设股份有限公司的客户
CUS_REL_0046,IS_CUSTOMER,CUS_006,CUS_020,Company,Company,客户关系-中国电力建设股份有限公司是珠海珠免集团股份有限公司的客户
CUS_REL_0047,IS_CUSTOMER,CUS_018,CP_001,Company,Company,客户关系-北京城建投资发展股份有限公司是华东建筑集团股份有限公司的客户
CUS_REL_0048,IS_CUSTOMER,CUS_023,ORG_012,Company,Company,客户关系-金科地产集团股份有限公司是中国石油集团资本股份有限公司的客户
CUS_REL_0049,IS_CUSTOMER,CUS_023,SUP_001,Company,Company,客户关系-金科地产集团股份有限公司是宝山钢铁股份有限公司的客户
CUS_REL_0050,IS_CUSTOMER,CUS_030,CUS_003,Company,Company,客户关系-恒大地产集团有限公司是中国中铁股份有限公司的客户
CUS_REL_0051,IS_CUSTOMER,CUS_003,CUS_030,Company,Company,客户关系-中国中铁股份有限公司是恒大地产集团有限公司的客户
CUS_REL_0052,IS_CUSTOMER,CUS_024,SUP_023,Company,Company,客户关系-金融街控股股份有限公司是苏州金螳螂建筑装饰股份有限公司的客户
CUS_REL_0053,IS_CUSTOMER,CUS_015,CUS_025,Company,Company,客户关系-绿地控股集团股份有限公司是北京首都开发股份有限公司的客户
CUS_REL_0054,IS_CUSTOMER,CUS_025,CUS_015,Company,Company,客户关系-北京首都开发股份有限公司是绿地控股集团股份有限公司的客户
CUS_REL_0055,IS_CUSTOMER,CUS_027,CP_008,Company,Company,客户关系-上海陆家嘴金融贸易区开发股份有限公司是海波重型工程科技股份有限公司的客户
CUS_REL_0056,IS_CUSTOMER,CUS_017,CP_010,Company,Company,客户关系-珠海华发实业股份有限公司是河北中瓷电子科技股份有限公司的客户
CUS_REL_0057,IS_CUSTOMER,CUS_027,CUS_028,Company,Company,客户关系-上海陆家嘴金融贸易区开发股份有限公司是苏宁环球股份有限公司的客户
CUS_REL_0058,IS_CUSTOMER,CUS_028,CUS_027,Company,Company,客户关系-苏宁环球股份有限公司是上海陆家嘴金融贸易区开发股份有限公司的客户
CUS_REL_0059,IS_CUSTOMER,CUS_023,CUS_001,Company,Company,客户关系-金科地产集团股份有限公司是中国建筑股份有限公司的客户
CUS_REL_0060,IS_CUSTOMER,CUS_001,CUS_023,Company,Company,客户关系-中国建筑股份有限公司是金科地产集团股份有限公司的客户
CUS_REL_0061,IS_CUSTOMER,CUS_015,CP_009,Company,Company,客户关系-绿地控股集团股份有限公司是启迪设计集团股份有限公司的客户
CUS_REL_0062,IS_CUSTOMER,CUS_023,CP_005,Company,Company,客户关系-金科地产集团股份有限公司是深圳市建筑科学研究院股份有限公司的客户
CUS_REL_0063,IS_CUSTOMER,CUS_022,CUS_017,Company,Company,客户关系-杭州滨江房产集团股份有限公司是珠海华发实业股份有限公司的客户
CUS_REL_0064,IS_CUSTOMER,CUS_017,CUS_022,Company,Company,客户关系-珠海华发实业股份有限公司是杭州滨江房产集团股份有限公司的客户
CUS_REL_0065,IS_CUSTOMER,CUS_029,CUS_003,Company,Company,客户关系-北京万通新发展集团股份有限公司是中国中铁股份有限公司的客户
CUS_REL_0066,IS_CUSTOMER,CUS_003,CUS_029,Company,Company,客户关系-中国中铁股份有限公司是北京万通新发展集团股份有限公司的客户
CUS_REL_0067,IS_CUSTOMER,CUS_026,CUS_030,Company,Company,客户关系-南京栖霞建设股份有限公司是恒大地产集团有限公司的客户
CUS_REL_0068,IS_CUSTOMER,CUS_030,CUS_026,Company,Company,客户关系-恒大地产集团有限公司是南京栖霞建设股份有限公司的客户
CUS_REL_0069,IS_CUSTOMER,CUS_013,CUS_025,Company,Company,客户关系-招商局蛇口工业区控股股份有限公司是北京首都开发股份有限公司的客户
CUS_REL_0070,IS_CUSTOMER,CUS_025,CUS_013,Company,Company,客户关系-北京首都开发股份有限公司是招商局蛇口工业区控股股份有限公司的客户
CUS_REL_0071,IS_CUSTOMER,CUS_027,CP_004,Company,Company,客户关系-上海陆家嘴金融贸易区开发股份有限公司是苏交科集团股份有限公司的客户
CUS_REL_0072,IS_CUSTOMER,CUS_012,CP_007,Company,Company,客户关系-保利发展控股集团股份有限公司是汉嘉设计集团股份有限公司的客户
CUS_REL_0073,IS_CUSTOMER,CUS_030,SUP_022,Company,Company,客户关系-恒大地产集团有限公司是广联达科技股份有限公司的客户
