edge_id,edge_type,from_node,to_node,from_type,to_type,properties
CUS_REL_0047,IS_CUSTOMER,CUS_023,CUS_001,Company,Company,客户关系-荣盛发展是华润置地发展的客户
CUS_REL_0048,IS_CUSTOMER,CUS_023,CUS_028,Company,Company,客户关系-荣盛发展是奥园集团的客户
CUS_REL_0049,IS_CUSTOMER,CUS_023,ORG_012,Company,Company,客户关系-荣盛发展是中国铁路工程集团的客户
CUS_REL_0050,IS_CUSTOMER,CUS_023,SUP_001,Company,Company,客户关系-荣盛发展是华信建材有限公司的客户
CUS_REL_0051,IS_CUSTOMER,CUS_024,SUP_005,Company,Company,客户关系-泰禾集团是宏图机械设备的客户
CUS_REL_0052,IS_CUSTOMER,CUS_024,SUP_023,Company,Company,客户关系-泰禾集团是盛世建材集团的客户
CUS_REL_0053,IS_CUSTOMER,CUS_025,CUS_013,Company,Company,客户关系-富力地产是华夏幸福基业的客户
CUS_REL_0054,IS_CUSTOMER,CUS_025,CUS_015,Company,Company,客户关系-富力地产是阳光城集团的客户
CUS_REL_0055,IS_CUSTOMER,CUS_025,SUP_017,Company,Company,客户关系-富力地产是远大建筑材料的客户
CUS_REL_0056,IS_CUSTOMER,CUS_026,CP_005,Company,Company,客户关系-雅居乐地产是建筑安全评估的客户
CUS_REL_0057,IS_CUSTOMER,CUS_026,CUS_030,Company,Company,客户关系-雅居乐地产是当代置业的客户
CUS_REL_0058,IS_CUSTOMER,CUS_026,SUP_029,Company,Company,客户关系-雅居乐地产是鑫达建筑材料的客户
CUS_REL_0059,IS_CUSTOMER,CUS_027,CP_004,Company,Company,客户关系-合景泰富是工程造价咨询的客户
CUS_REL_0060,IS_CUSTOMER,CUS_027,CP_008,Company,Company,客户关系-合景泰富是建筑法律咨询的客户
CUS_REL_0061,IS_CUSTOMER,CUS_027,CUS_005,Company,Company,客户关系-合景泰富是融创中国地产的客户
CUS_REL_0062,IS_CUSTOMER,CUS_027,CUS_028,Company,Company,客户关系-合景泰富是奥园集团的客户
CUS_REL_0063,IS_CUSTOMER,CUS_028,CUS_004,Company,Company,客户关系-奥园集团是恒大地产集团的客户
CUS_REL_0064,IS_CUSTOMER,CUS_028,CUS_023,Company,Company,客户关系-奥园集团是荣盛发展的客户
CUS_REL_0065,IS_CUSTOMER,CUS_028,CUS_027,Company,Company,客户关系-奥园集团是合景泰富的客户
CUS_REL_0066,IS_CUSTOMER,CUS_029,CP_010,Company,Company,客户关系-花样年控股是建筑金融服务的客户
CUS_REL_0067,IS_CUSTOMER,CUS_029,CUS_003,Company,Company,客户关系-花样年控股是碧桂园地产的客户
CUS_REL_0068,IS_CUSTOMER,CUS_029,CUS_010,Company,Company,客户关系-花样年控股是世茂房地产的客户
CUS_REL_0069,IS_CUSTOMER,CUS_029,SUP_021,Company,Company,客户关系-花样年控股是锦绣建筑材料的客户
CUS_REL_0070,IS_CUSTOMER,CUS_030,CUS_003,Company,Company,客户关系-当代置业是碧桂园地产的客户
CUS_REL_0071,IS_CUSTOMER,CUS_030,CUS_026,Company,Company,客户关系-当代置业是雅居乐地产的客户
CUS_REL_0072,IS_CUSTOMER,CUS_030,ORG_013,Company,Company,客户关系-当代置业是中铁华东工程公司的客户
CUS_REL_0073,IS_CUSTOMER,CUS_030,SUP_022,Company,Company,客户关系-当代置业是腾飞机械设备的客户
